Customer_ID,Gender,Category,Previous_Purchases,Review_Rating,Size,Season,Location,Subscription_Status,Frequency_of_Purchases,Payment_Method,Shipping_Type,Color,Discount_Applied,Preferred_Payment_Method,Promo_Code_Used,Item_Purchased,Cluster,Silhouette,Age,Purchase_Amount_USD
1,Male,Clothing,14,3.1,L,Winter,Kentucky,Yes,Fortnightly,Credit Card,Express,Gray,Yes,Venmo,Yes,Blouse,C3,0.590213,55,53
2,Male,Clothing,2,3.1,L,Winter,Maine,Yes,Fortnightly,Bank Transfer,Express,Maroon,Yes,Cash,Yes,Sweater,C2,0.662984,19,64
3,Male,Clothing,23,3.1,S,Spring,Massachusetts,Yes,Weekly,Cash,Free Shipping,Maroon,Yes,Credit Card,Yes,Jeans,C1,0.645903,50,73
4,Male,Footwear,49,3.5,M,Spring,Rhode Island,Yes,Weekly,PayPal,Next Day Air,Maroon,Yes,PayPal,Yes,Sandals,C2,0.609903,21,90
5,Male,Clothing,31,2.7,M,Spring,Oregon,Yes,Annually,Cash,Free Shipping,Turquoise,Yes,PayPal,Yes,Blouse,C3,0.598042,45,49
6,Male,Footwear,14,2.9,M,Summer,Wyoming,Yes,Weekly,Venmo,Standard,White,Yes,Venmo,Yes,Sneakers,C3,0.648502,46,20
7,Male,Clothing,49,3.2,M,Fall,Montana,Yes,Quarterly,Debit Card,Free Shipping,Gray,Yes,Cash,Yes,Shirt,C1,0.671548,63,85
8,Male,Clothing,19,3.2,L,Winter,Louisiana,Yes,Weekly,Debit Card,Free Shipping,Charcoal,Yes,Credit Card,Yes,Shorts,C2,0.58174,27,34
9,Male,Outerwear,8,2.6,L,Summer,West Virginia,Yes,Annually,Venmo,Express,Silver,Yes,Venmo,Yes,Coat,C2,0.565064,26,97
10,Male,Accessories,4,4.8,M,Spring,Missouri,Yes,Quarterly,PayPal,2-Day Shipping,Pink,Yes,Cash,Yes,Handbag,C3,0.680146,57,31
11,Male,Footwear,26,4.1,L,Fall,Arkansas,Yes,Bi-Weekly,Credit Card,Store Pickup,Purple,Yes,Bank Transfer,Yes,Shoes,C3,0.680515,53,34
12,Male,Clothing,10,4.9,S,Winter,Hawaii,Yes,Fortnightly,PayPal,Store Pickup,Olive,Yes,Bank Transfer,Yes,Shorts,C2,0.642092,30,68
13,Male,Outerwear,37,4.5,M,Winter,Delaware,Yes,Fortnightly,PayPal,Express,Gold,Yes,Venmo,Yes,Coat,C1,0.639093,61,72
14,Male,Clothing,31,4.7,M,Spring,New Hampshire,Yes,Weekly,Debit Card,Express,Violet,Yes,PayPal,Yes,Dress,C3,0.58717,65,51
15,Male,Outerwear,34,4.7,L,Winter,New York,Yes,Weekly,PayPal,Free Shipping,Teal,Yes,Debit Card,Yes,Coat,C3,0.571686,64,53
